season,batter,pa_22g,ros_woba_delta_vs_prior,q10,q50,q90
2024,592273,82,-0.12082534739260059,-0.09036754507628297,-0.03957409371188533,0.01798830557055786
2024,592450,100,0.08774045344294507,-0.14014796102490074,-0.0487044127188645,0.005636992624650195
2024,592518,98,-0.011819898265718054,-0.06603108679508451,-0.021510281692405264,0.023784848997070063
2024,592626,67,0.038676883162629905,-0.06076128959327537,-0.010871836593101702,0.04464233607719398
2024,592663,93,0.0005253454789405088,-0.07427615937521598,-0.028920498318541987,0.01860418590432178
2024,592669,77,-0.011234686504797642,-0.07932743662539302,-0.028560497369679583,0.030503489641522
2024,592696,73,-0.04303451318327789,-0.07932743662539302,-0.02539631154560057,0.032226008358254676
2024,592885,94,0.041399345900630546,-0.04990169899204966,-0.008401321904368486,0.0479214058945579
2024,593160,85,0.004128203015049126,-0.07286914765906366,-0.020401438266728023,0.03258014815044469
2024,593428,97,-0.04139984906004457,-0.08443422149881574,-0.030464518653577632,0.011858316026009452
2024,593871,91,-0.04545230174174686,-0.07750941916790882,-0.028920498318541987,0.017433827483403053
2024,594807,64,-0.0687812571749965,-0.07189696934836515,-0.0147634391183179,0.036491356332239544
2024,595281,77,-0.0623728665433021,-0.07482044240523669,-0.028560497369679583,0.03096530419983462
2024,595777,84,0.05484819974692978,-0.04937852027080819,-0.008401321904368486,0.042822334593415834
2024,595879,82,-0.07883987787539298,-0.07823027847081049,-0.019024046191806337,0.03792178190191886
2024,595909,51,0.027119716847468278,-0.06941699013349575,-0.0036068376068376096,0.0717555543523381
2024,595978,69,-0.03676121904118071,-0.07055789967182372,-0.001972471805842202,0.07502131287297525
2024,596019,101,0.035760093567558604,-0.0799404018747022,-0.028920498318541987,0.010493482073362037
2024,596117,78,0.007242527374963004,-0.0747566127750052,-0.010695388285209273,0.06527092182298247
2024,596142,67,-0.020791377061916638,-0.04937852027080819,0.008476117611333711,0.06320268854748606
2024,596146,83,-0.0395289514776318,-0.05910694699067798,-0.008438392492860047,0.04768832871303935
2024,600869,92,-0.01871638996136571,-0.07750941916790882,-0.03062699554181686,0.03096530419983462
2024,602104,64,0.030486428756838546,-0.07980611435088814,-0.030509107593961027,0.027910053891661513
2024,605113,72,-0.04554837523587518,-0.056063847542235985,0.005474156455764045,0.06952882374769936
2024,605131,71,0.05303911085281998,-0.06542327944167187,-0.0036068376068376096,0.07502131287297525
2024,605137,95,-0.018128139746010463,-0.06771045499442802,-0.026644518272425255,0.026019588953114958
2024,605141,105,-0.04641827023868644,-0.06914032126245911,-0.024635076008952372,0.03708237852195195
2024,605170,63,0.027615779398824924,-0.05524212267924392,-0.004138278948732532,0.05068931314108094
2024,605204,83,-0.03420185295185296,-0.08858857915177232,-0.034232180117116484,0.024812965594101843
2024,605361,71,-0.04053689585730724,-0.09588729280564103,-0.038095238095238126,0.021777070403464105
2024,606115,89,-0.0450598795680191,-0.06914032126245911,-0.013977467198625082,0.04561507084585664
2024,606192,92,0.017509289134912898,-0.07286914765906366,-0.024481962455076223,0.026312577522027814
2024,606466,101,0.027968740620888333,-0.050788116806176564,-0.009493022358707526,0.04775335971486799
2024,607043,105,-0.03891358092883063,-0.06608025652819192,-0.01746079362113223,0.025220469747936174
2024,607208,98,-0.01075257988707451,-0.06597710179790106,-0.020743552386064457,0.024000629317697586
2024,607680,57,0.024185134940594932,-0.034913891927353696,0.02431849257612617,0.11568731254335318
2024,607732,72,0.05848381927453289,-0.03440878668804864,0.02258359341056182,0.08466404886561951
2024,608070,99,0.011425829967173895,-0.07915323901897509,-0.0356014153092456,0.022101765141501917
2024,608324,95,-0.002397232792638204,-0.09036754507628297,-0.03586949620646962,0.012404145099589259
2024,608336,88,-0.04152539499817137,-0.07775964872271607,-0.012948586771813542,0.04587642247048718
2024,608348,80,0.029774093713024863,-0.035858920558460794,0.018944280082137666,0.07786310553485398
2024,608369,98,-0.00054228741011636,-0.08858857915177232,-0.036116140722095846,0.011487893157046125
2024,608385,95,0.01387253791786175,-0.052998589931042235,-0.006992141338721669,0.037245396233872075
2024,608671,52,-0.07361621495093248,-0.07482044240523669,-0.022277432712215328,0.05954071341732986
2024,608701,67,0.000933535786668771,-0.060145059838509374,-0.00775152712554289,0.0582817147511272
2024,608841,95,-0.07293957813049562,-0.089792922201824,-0.035755075727901875,0.013669382752519166
2024,609280,94,0.000958277822186715,-0.06071517924734196,-0.009755553569736786,0.04561507084585664
2024,620443,75,-0.10110533526756932,-0.027533086083397607,0.02176041666666667,0.10121138751169712
2024,621020,92,-0.02152639140226531,-0.06690844072828128,-0.01795157150202431,0.01860418590432178
2024,621028,73,0.03957850374688665,-0.07427892921403387,-0.001972471805842202,0.060735785953177246
2024,621035,66,-0.006101833610927143,-0.07932743662539302,-0.026389924694065037,0.029380254591522215
2024,621043,91,0.06970362508880634,-0.060145059838509374,-0.01655331648237207,0.03286365127790419
2024,621438,70,-0.0014971373793232212,-0.06440760294961762,-0.01215775254200524,0.03519045905022683
